LKP_ID	LKP_GRP_ID	LKP_DESC_A	LKP_DESC_B
1533	110	mV	Milli- Volts
1534	110	mA/m2	Milli-Ampere per square metre
1535	110	mA	Milliamperes
1536	110	mbar	Milli-bar
1537	110	mm	Millimetres
1538	110	mmscfd	Million standard cubic feet per day
1539	110	ng/m3	Nano-grammes per cubic metre
1540	110	N/m3	Newtons per cubic metre
1541	110	Ohm-cm	Ohm.centimetre
1542	110	mm-1	Per millimetre
1543	110	%	Percent
1544	110	%mol	Percentage mole
1545	110	lb/ft3	Pound per cubic foot
1546	110	psi	Pounds per square inch
1547	110	psia	Pounds per square inch atmosphere
1548	110	psig	Pounds per square inch gauge
1549	110	s	Seconds
1550	110	sbbl/d	Standard barrels per day
1551	110	Te	Tonnes
1552	110	T	Tons
1553	110	V	Volts
1554	110	W/m2/C	W/m2/C
1555	110	yr	Years
1556	110	mi	mile(s)
6400	130	MPN	MPN
6401	130	COLONY	COLONY
7000	132	''	Wax Inhibitor
7001	132	''	Asphaltene Inhibitor
7002	132	''	Defoamer
7003	132	''	Demulsifier
7004	132	''	Corrosion Inhibitor
7005	132	''	Scale Inhibitor
7006	132	''	Water Clarifier
7007	132	''	Hydrate Inhibitor
7008	132	''	Oxygen Scavenger
7009	132	''	H2S Scavenger
7010	132	''	Biocide
7011	132	''	Compatibility
7012	132	''	Other
7600	153	DSV	DSV
7601	153	RIG	RIG
7602	153	ROV	ROV
7700	154	MAJ	Major
7701	154	MIN	Minor
7800	155		Other/Unknown
7801	155		Replace unit
7802	155		Replace equipment
7803	155		Replace component
7804	155		Modify/reconfigure
7805	155		Defer
7806	155		Check/reset/restart
7807	155		Adjust into tolerance
7808	155		Repair in situ
7900	133	BS	(I)Barrium Sulfate
7901	133	CS	(I)Calcium Sulfate
7902	133	IO	(I)Iron Oxide
7903	133	QU	(I)Quartz
7904	133	OTI	(I)Other
7905	133	WA	(O)Wax
7906	133	AS	(O)Asphaltenes
7907	133	OTO	(O)Other
8000	138	LoginName	LoginName
8001	138	Rights	User Rights
8002	138	Password	Password
8003	138	Email	Email
8004	138	Job Title	Job Title
8005	138	RefInd	Reference Indicator
8006	138	Asset Group	Asset Group
8007	138	TA Discipline	Technical Authority Discipline
8008	138	ChemDbTA	Chemical Database TA
8050	8001	Admin	Administrator
8051	8001	User	User
8052	8001	Read Only	Read Only
8100	8006	IN	Instrumentation
8101	8006	MA	Marine
8102	8006	PL	Pipelines
8103	8006	RE	Rotating Equipment
8104	8006	ST	Structures
8105	8006	SS	Subsea
8106	8006	TP	Topside Pressurised Equipment
8107	8006	WL	Wells
8150	8007	IN	Instrumentation
8151	8007	MA	Marine
8152	8007	PL	Pipelines
8153	8007	RE	Rotating Equipment
8154	8007	ST	Structures
8155	8007	SS	Subsea
8156	8007	TP	Topside Pressurised Equipment
8157	8007	WL	Wells
8200	139	DOC	Livelink Document
8201	139	FOL	Livelink Folder
8202	139	AKA	Livelink Alias
8203	139	URL	Livelink URL
8204	139	IMD	IMSA Document
8205	139	IMP	IMSA Photo
8206	139	IMV	IMSA Video
8207	139	IMW	IMSA Drawing
8208	139	XURL	External URL
8250	140	AL	Alias
8251	140	C1	Chemical Treating Manual
8252	140	C2	Chem PFD
8253	140	SD	Standards
8254	140	CO	Code of Practice
8255	140	DO	Document
8256	140	DP	Design Philosophy
8257	140	EA	Corrosion Engineering Advice Notes
8258	140	FO	Folder
8259	140	GU	Guideline
8260	140	IP	Inspection Photos
8261	140	MA	Manual
8262	140	ME	Memo
8263	140	NO	Note/Email Thread
8264	140	PH	Project Home Volume
8265	140	PI	Picture
8266	140	PL	Plan
8267	140	PN	Presentation
8268	140	PO	Poster
8269	140	PR	Procedure
8270	140	RP	Report
8271	140	SC	Specification
8272	140	SP	Spreadsheet
8273	140	ST	Strategy
8274	140	TN	Technical Note
8275	140	UL	URL
8276	140	UR	Underwater Inspection Report
8277	140	VI	Video Clip
8278	140	WI	Work Instruction
8279	140	ZZ	Unspecified
8280	140	AB	As Built
8281	140	ABC	As Built - Chart
8283	140	ABG	As Built - General Arrangement
8284	140	ABP	As Built - P & ID
8285	140	CH	Chart
8286	140	DCO	Approved for Construction
8287	140	DPI	Piping and Instrument Diagram
8288	140	DS	Data Sheet
8289	140	GA	General Arrangement
8290	140	ID	Inspection Drawing
8291	140	ISO	As Built - Isometric
8350	141	AR	Awaiting Response
8351	141	CL	Closed
8352	141	HP	High Priority - Action Required
8353	141	IP	In Progress
8354	141	LP	Low Priority - Action Required
8355	141	NA	No Action Required
8450	143	A	Open
8451	143	B	Cancelled/Superseded
8452	143	C	Contained/Isolated
8453	143	D	Closed
8470	144	GRN	Green
8471	144	AMB	Amber
8472	144	RED	Red
8490	145	NON	None
8491	145	NRM	Non-Routine
8492	145	RM	Routine
8500	146	NA	N/A
8501	146	IN	Infant
8502	146	EL	Early
8503	146	LG	Long
8520	147	A	Never heard of in industry / Not susceptable to degradation under any foreseen circumstances
8521	147	B	Incident has occurred in industry / Susceptable to degradation under upset conditions
8522	147	C	Incident has occurred in region / Susceptable to degradation under normal conditions
8523	147	D	Incident happens several times a year in region and could occur in this location / Very susceptable to degradation
8524	147	E	Incident has already happened or could occur several times a year in this location / Extremely susceptable to degradation
8540	148	0	None
8541	148	1	Negligible
8542	148	2	Low
8543	148	3	Medium
8544	148	4	High
8545	148	5	Extreme
8560	149	CA	Clearance/Misalignment/Loss of Restraint
8561	149	CP	CP System
8562	149	DI	Design Issue
8563	149	EN	Environmental/Seismic/Weather
8564	149	EV	Event
8565	149	FR	Flow Restriction/Blockage/Plug
8566	149	IC	Internal Corrosion/Erosion/Coatings
8567	149	LC	Leak to Environment/Loss of Containment
8568	149	ME	Missing or Non-Standard Equipment
8569	149	OD	Overdue
8570	149	OP	Operating Issue
8571	149	PD	Physical Damage/Cracks
8572	149	PR	Process
8573	149	SE	Seabed Related
8574	149	TP	Security/Third Party Interference/Foreign Objects
8575	149	VR	Internal Leaks/Passing Valve, Failed to Function/Valve Position
8576	149	XC	External Corrosion/Coatings
8700	150	CA	Clearance/Misalignment/Loss of Restraint
8701	150	CP	CP System
8702	150	EN	Environmental/Seismic/Weather
8703	150	FR	Flow Restriction/Blockage/Plug
8704	150	IC	Internal Corrosion/Erosion/Coatings
8705	150	LC	Leak to Environment/Loss of Containment
8706	150	OP	Operating Issue
8707	150	PD	Physical Damage/Cracks
8708	150	SE	Seabed Related
8709	150	TP	Security/Third Party Interference/Foreign Objects
8710	150	XC	External Corrosion/Coatings
8800	151	Critical	Causing immediate and complete loss of the Asset's ability to perform
8801	151	Degraded	Gradual, may develop into a critical failure
8802	151	Incipient	Does not immediately cause performance loss, but can lead to a critical or degraded failure
8803	151	Operational	Operation threat, not affecting technical integrity
8900	152	A	Open
8901	152	D	Cancelled
8902	152	C	Closed
8903	152	B	On Hold
9000	156	GRN	Green
9001	156	AMB	Amber
9002	156	RED	RED
9010	157	GRN	Green
9011	157	AMB	Amber
9012	157	RED	RED
9020	158		Analysis Laboratories
9021	158		Baker
9022	158		Baker Hughes
9023	158		Baker Petrolite
9024	158		C.D.A and Associates
9025	158		ClampOn Inc.
9026	158		Core Lab
9027	158		Core Laboratories (Pencor)
9028	158		Field Sample
9029	158		InterChem
9030	158		Nalco
9031	158		OMNI
9032	158		Omni Laboratories
9033	158		Petroleum Laboratories
9034	158		Pictures
9035	158		Unknown
9100	159	MPN	MPN
9101	159	COL	COLONY
10506	160	CO	Completed
10507	160	CA	Cancelled
10508	160	PL	Planned
10509	160	PR	In Progress
10510	160	PO	Postponed
10511	161	AC	Active
10512	161	AT	Actioned
10513	161	CL	Closed
10514	162	0	0 - No Health Effect
10515	162	1	1 - Slight Health Effect
10516	162	2	2 - Minor Health Effect
10517	162	3	3 - Major Health Effect
10518	162	4	4 - PTD or 1 to 3 Fatalities
10519	162	5	5 - Multiple Fatalities
10520	162	X	X - Unknown
10521	163	0	0 - No Injury
10522	163	1	1 - Slight Injury
10523	163	2	2 - Minor Injury
10524	163	3	3 - Major Injury
10525	163	4	4 - PTD or 1 to 3 Fatalities
10526	163	5	5 - Multiple Fatalities
10527	163	X	X - Unknown
10528	164	0	0 - No Effect
10529	164	1	1 - Slight Effect
10530	164	2	2 - Minor Effect
10531	164	3	3 - Localized Effect
10532	164	4	4 - Major Effect
10533	164	5	5 - Massive Effect
10534	164	X	X - Unknown
10535	165	0	0 - No Damage
10536	165	1	1 - Slight Damage < $10,000
10537	165	2	2 - Minor Damage < $100,000
10538	165	3	3 - Localized Damage < $1,000,000
10539	165	4	4 - Major Damage < $10,000,000
10540	165	5	5 - Extensive Damage < $100,000,000
10541	165	X	X - Unknown
10542	166	0	0 - No Impact
10543	166	1	1 - Slight Impact
10544	166	2	2 - Limited Impact
10545	166	3	3 - Considerable Impact
10546	166	4	4 - National Impact
10547	166	5	5 - International Impact
10548	166	X	X - Unknown
10549	167	P	Pass
10550	167	F	Fail
10551	167	U	Undetermined
10552	168	TST001	TST001
10553	168	TST002	TST002
10554	168	TST003	TST003
10555	168	TST004	TST004
10556	169	OIL	Oil (gal/1000bbls)
10560	169	WGal	Water (gal/1000bbls)
10561	169	Total Fluid	Total Fluid (gal/1000bbls)
10562	169	Gas	Gas (gal/MMScf)
12000	170	CIS	Chemical Injection System
12001	170	CHO	Choke
12002	170	COM	Communications
12003	170	CPN	Completion
12004	170	CPR	Compressor
12005	170	COS	Control System
12006	170	CPS	CP System
12007	170	DEM	Detector/Monitor
12008	170	ELS	Electrical System
12009	170	EMS	Emergency Systems
12010	170	EXC	Exchanger
12011	170	FIE	Field
12012	170	FIL	Filter
12013	170	FIV	Fired Vessel
12014	170	FOS	Floating Offloading Systems
12015	170	FLO	Flowline
12016	170	FLE	Flying Lead
12018	170	ASN	Anchoring System
12019	170	GAU	Gauges
12020	170	HVA	HVAC System
12021	170	HYS	Hydraulic System
12023	170	JUM	Jumper
12024	170	CAI	Offshore Assets
12025	170	CAL	Fixed Lifting Equipment
12026	170	CAT	Onshore Assets
12027	170	CCT	Manifold/Sled
12028	170	CGS	Marine
12029	170	CHN	Operating Company
12030	170	CHS	Pipeline
12031	170	CHA	Piping System
12032	170	CID	Pressure Vessel
12033	170	CTV	Process System
12034	170	CHE	Pump
12035	170	CIU	Metering and Allocation
12036	170	CLA	Reservoir Related
12037	170	CMP	Rotating Equipment
12038	170	COA	Safety System
12039	170	COL	Store/Base
12040	170	COM	Structure
12041	170	CLN	Subsea Control Module
12042	170	CGB	Subsea Control System
12043	170	CPR	Subsea Isolation Valve
12044	170	CDT	Subsea Production System
12045	170	CDR	Tank
12046	170	COR	Test Equipment
12047	170	CNR	Tools
12048	170	CTR	Tree
12049	170	CRL	Plant/Terminal/Refinery
12050	170	CLR	Umbilical
12051	170	CPS	Mooring System
12052	170	CRA	Utility System
12053	170	CRO	Valve
12054	170	XOV	Workover Equipment
12235	158	INS	Inspectorate
12245	158	MD	MacDermid
12249	158	ASM	ASM International
12250	158	BRI	Baseline Resolution, Inc.
12251	158	FES	FESCO, Ltd.
12275	176	NA	N/A
12276	176	BG	Bug Report
12277	176	CG	Change Request
12278	176	EN	Enhancement Request
12279	176	CM	Comment/Info Only
12285	177	NA	N/A
12286	177	L	Low
12287	177	M	Medium
12288	177	H	High
12289	158	GTS	Gly-Tech Services, Inc.
12310	179	ALS2000/2001	As Laid Survey (2000/2001)
12311	179	BS2002	Baseline Survey 2002
12312	179	C2003	2003 Campaign
12313	179	C2004	2004 Campaign
12314	179	C2005	2005 Campaign
12315	179	C2006	2006 Campaign
12316	179	C2007	2007 Campaign
12317	179	C2008	2008 Campaign
12330	180	CO	Completed
12331	180	IP	In Progress
12332	180	NR	Not Required
12333	180	NS	Not Started
12334	180	OH	On Hold
12340	181	4	Inspection Execution
12341	181	5	Inspection Report
12342	181	6	Data Loading
12343	181	7 	Anomalies Processed
12344	181	8	Remedial Action
12345	181	3	Workpack Preparation
12346	181	9	RBI
12347	181	1	Workscope Preparation
12348	181	2	Update SAP
14000	171	A	Never heard of in industry
14001	171	B	Incident has occurred in industry
14002	171	C	Incident has occurred in region
14003	171	D	Incident happens several times a year in region and could occur in SPEX
14004	171	E	Incident has already happened or could occur several times a year in SPEX
14020	173	P	Poor
14021	173	L	Low
14022	173	M	Medium
14023	173	H	High
14024	173	G	Good
14030	174	R	Risk Based
14031	174	T	Time Based
14032	174	A	Ad Hoc
14033	174	C	Continuous
14040	175	MO	Monitoring
14041	175	IN	Inspection
14042	175	MA	Maintenance
14043	175	OM	Operational Mitigation
16000	142	ANPATH	Anomaly Module Path
16001	142	CHPATH	Chemical Database Path
16002	142	DDPATH	Design Data Path
16003	142	SVPATH	Survey Module Path
16004	142	EQPATH	Equipment Test Module Path
16005	142	LDPATHG	Livelink Document Path
16006	142	LFPATHK	Livelink Folder Path
16007	142	LUPATH	Livelink URL Path
16008	142	LAPATH	Livelink Alias Path
16009	142	FMS	FMS Hyperlink
16020	142	0001CCDBOLTED ITEM	
16021	142	0001CCDSTATUS CHECK	
16022	142	0001GSSAD-HOC WORK	
16023	142	0001TSP2AD-HOC WORK	
16024	142	0001UG3ANOMALY	
16025	142	0001UG3BURIAL	
16026	142	0001UG3DEBRIS	
16027	142	0001UG3ENVIRONMENT	
16028	142	0001UMBBURIAL	
16029	142	0001UMBLEAK	
16030	142	0001UT23LEAK	
16031	142	0001WHJSANOMALY	
16032	142	0001WHJSLEAK	
16033	142	0001XMASLEAK	
16034	142	0002UG3AD-HOC WORK	
16035	142	0002UG3ANOMALY	
16036	142	0002UG3BURIAL	
16037	142	0002UG3DEBRIS	
16038	142	0002UG3ENVIRONMENT	
16039	142	0002UT13ANOMALY	
16040	142	0009VIDEO	
16041	142	0021Ad-Hoc Work	
16042	142	0021VIDEO	
16043	142	0027Anomaly	
16044	142	0027Leak	
16045	142	ANOMLINKVID	
16046	142	BLISTERS	
16047	142	CALM	
16048	142	SHIMMER	
16049	142	VGEN	
16050	142	0001BVC1STATUS CHECK	
16051	142	0001BVC2STATUS CHECK	
16052	142	0001BVT1ADD FEATURE	
16053	142	0001BVT1STATUS CHECK	
16054	142	0001BVT2ADD FEATURE	
16055	142	0001BVT2STATUS CHECK	
16056	142	0001CAAADD FEATURE	
16057	142	0001CAAANODE	
16058	142	0001CAABURIAL	
16059	142	0001CAACLEANING	
16060	142	0001CAACORROSION	
16061	142	0001CAADEBRIS	
16062	142	0001CAADISPLACEMENT	
16063	142	0001CAAMARINE GROWTH	
16064	142	0001CAASTATUS CHECK	
16065	142	0001CAASTRUCT SCOUR	
16066	142	0001CAAWEAR	
16067	142	0001CAUHADD FEATURE	
16068	142	0001CAUHBOLTED ITEM	
16069	142	0001CAUHMARINE GROWTH	
16070	142	0001CAUHSTATUS CHECK	
16071	142	0001CCDADD FEATURE	
16072	142	0001CCDBOLTED ITEM	
16073	142	0001CCDDEBRIS	
16074	142	0001CCDSTATUS CHECK	
16075	142	0001CCOANODE	
16076	142	0001CCOBOLTED ITEM	
16077	142	0001CCOCP READING	
16078	142	0001CGSADD FEATURE	
16079	142	0001CGSAD-HOC WORK	
16080	142	0001CGSANODE	
16081	142	0001CGSANOMALY	
16082	142	0001CGSCLEANING	
16083	142	0001CGSCOATINGS	
16084	142	0001CGSCONCRETE	
16085	142	0001CGSCP READING	
16086	142	0001CGSDEBRIS	
16087	142	0001CGSMARINE GROWTH	
16088	142	0001CGSSTATUS CHECK	
16089	142	0001PLEMBOLTED ITEM	
16090	142	0001PLEMDEBRIS	
16091	142	0001PLEMSTATUS CHECK	
16092	142	0001SSMPADD FEATURE	
16093	142	0001SSMPANODE	
16094	142	0001SSMPBOLTED ITEM	
16095	142	0001SSMPCONTINUITY STRAP	
16096	142	0001SSMPCP READING	
16097	142	0001SSMPSTATUS CHECK	
16098	142	0001SSMPSTRUCT SCOUR	
16099	142	0001SSMSADD FEATURE	
16100	142	0001SVGAD-HOC WORK	
16101	142	0001SVGBOLTED ITEM	
16102	142	0001SVGCONTINUITY STRAP	
16103	142	0001SVGSTATUS CHECK	
16104	142	0001SVT1ADD FEATURE	
16105	142	0001SVT1AD-HOC WORK	
16106	142	0001SVT1BOLTED ITEM	
16107	142	0001SVT1CLEANING	
16108	142	0001SVT1COATINGS	
16109	142	0001SVT1CONTINUITY STRAP	
16110	142	0001SVT1STATUS CHECK	
16111	142	0001SVT2AD-HOC WORK	
16112	142	0001SVT2ANODE	
16113	142	0001SVT2BOLTED ITEM	
16114	142	0001SVT2CONTINUITY STRAP	
16115	142	0001SVT2MARINE GROWTH	
16116	142	0001SVT2STATUS CHECK	
16117	142	0001TSP1CP READING	
16118	142	0001TSP1DEBRIS	
16119	142	0001TSP1STATUS CHECK	
16120	142	0001TSP2COATINGS	
16121	142	0001TSP2STATUS CHECK	
16122	142	0001TSS1BOLTED ITEM	
16123	142	0001UC1ANODE	
16124	142	0001UC1BOLTED ITEM	
16125	142	0001UC1CP READING	
16126	142	0001UC1STATUS CHECK	
16127	142	0001UC2ADD FEATURE	
16128	142	0001UC2ANODE	
16129	142	0001UC2BERM	
16130	142	0001UC2BOLTED ITEM	
16131	142	0001UC2BURIAL	
16132	142	0001UC2CP READING	
16133	142	0001UC2DEBRIS	
16134	142	0001UC2MARINE GROWTH	
16135	142	0001UC2SPAN	
16136	142	0001UG1BOLTED ITEM	
16137	142	0001UG1DISPLACEMENT	
16138	142	0001UG1STATUS CHECK	
16139	142	0001UG2CP READING	
16140	142	0001UG2STATUS CHECK	
16141	142	0001UG3ADD FEATURE	
16142	142	0001UG3AD-HOC WORK	
16143	142	0001UG3ANODE	
16144	142	0001UG3ANOMALY	
16145	142	0001UG3BERM	
16146	142	0001UG3BURIAL	
16147	142	0001UG3CP READING	
16148	142	0001UG3DEBRIS	
16149	142	0001UG3ENVIRONMENT	
16150	142	0001UG3LINE DAMAGE	
16151	142	0001UG3MARINE GROWTH	
16152	142	0001UG3SPAN	
16153	142	0001UMAADD FEATURE	
16154	142	0001UMAANODE	
16155	142	0001UMAANOMALY	
16156	142	0001UMABOLTED ITEM	
16157	142	0001UMABURIAL	
16158	142	0001UMACONTINUITY STRAP	
16159	142	0001UMADISPLACEMENT	
16160	142	0001UMAENVIRONMENT	
16161	142	0001UMALINE DAMAGE	
16162	142	0001UMAMARINE GROWTH	
16163	142	0001UMASPAN	
16164	142	0001UMBADD FEATURE	
16165	142	0001UMBAD-HOC WORK	
16166	142	0001UMBANODE	
16167	142	0001UMBANOMALY	
16168	142	0001UMBBOLTED ITEM	
16169	142	0001UMBBURIAL	
16170	142	0001UMBCONTINUITY STRAP	
16171	142	0001UMBCP READING	
16172	142	0001UMBDISPLACEMENT	
16173	142	0001UMBENVIRONMENT	
16174	142	0001UMBLEAK	
16175	142	0001UMBMARINE GROWTH	
16176	142	0001UMBMEDIA CHECK	
16177	142	0001UMBSPAN	
16178	142	0001UMGADD FEATURE	
16179	142	0001UMGSTATUS CHECK	
16180	142	0001UMT1ADD FEATURE	
16181	142	0001UMT1SPAN	
16182	142	0001UMT2ADD FEATURE	
16183	142	0001UMT2BERM	
16184	142	0001UMT2BOLTED ITEM	
16185	142	0001UMT2DEBRIS	
16186	142	0001UT11COATINGS	
16187	142	0001UT11CP READING	
16188	142	0001UT11STATUS CHECK	
16189	142	0001UT12ADD FEATURE	
16190	142	0001UT12BOLTED ITEM	
16191	142	0001UT13ADD FEATURE	
16192	142	0001UT13AD-HOC WORK	
16193	142	0001UT13ANODE	
16194	142	0001UT13ANOMALY	
16195	142	0001UT13BERM	
16196	142	0001UT13BOLTED ITEM	
16197	142	0001UT13BURIAL	
16198	142	0001UT13CONTINUITY STRAP	
16199	142	0001UT13CORROSION	
16200	142	0001UT13CP READING	
16201	142	0001UT13DEBRIS	
16202	142	0001UT13DISPLACEMENT	
16203	142	0001UT13LINE DAMAGE	
16204	142	0001UT13MARINE GROWTH	
16205	142	0001UT13SPAN	
16206	142	0001UT21BOLTED ITEM	
16207	142	0001UT21CP READING	
16208	142	0001UT22ADD FEATURE	
16209	142	0001UT22BOLTED ITEM	
16210	142	0001UT22CP READING	
16211	142	0001UT23ADD FEATURE	
16212	142	0001UT23AD-HOC WORK	
16213	142	0001UT23ANODE	
16214	142	0001UT23ANOMALY	
16215	142	0001UT23BERM	
16216	142	0001UT23BOLTED ITEM	
16217	142	0001UT23BURIAL	
16218	142	0001UT23CONTINUITY STRAP	
16219	142	0001UT23CP READING	
16220	142	0001UT23DEBRIS	
16221	142	0001UT23DISPLACEMENT	
16222	142	0001UT23ENVIRONMENT	
16223	142	0001UT23LEAK	
16224	142	0001UT23LINE DAMAGE	
16225	142	0001UT23SPAN	
16226	142	0001UTJ2BOLTED ITEM	
16227	142	0001UTJ2CONTINUITY STRAP	
16228	142	0001WHFLBURIAL	
16229	142	0001WHFLDEBRIS	
16230	142	0001WHFLSTATUS CHECK	
16231	142	0001WHJSANODE	
16232	142	0001WHJSANOMALY	
16233	142	0001WHJSBOLTED ITEM	
16234	142	0001WHJSCOATINGS	
16235	142	0001WHJSCONTINUITY STRAP	
16236	142	0001WHJSCP READING	
16237	142	0001WHJSDEBRIS	
16238	142	0001WHJSSPAN	
16239	142	0001XMASADD FEATURE	
16240	142	0001XMASANODE	
16241	142	0001XMASANOMALY	
16242	142	0001XMASBOLTED ITEM	
16243	142	0001XMASCOATINGS	
16244	142	0001XMASCP READING	
16245	142	0001XMASDEBRIS	
16246	142	0001XMASLEAK	
16247	142	0001XMASSTATUS CHECK	
16248	142	0001XMASSTRUCT SCOUR	
16249	142	0002CAAAdd Feature	
16250	142	0002CAAAnode	
16251	142	0002CAABurial	
16252	142	0002CAACleaning	
16253	142	0002CAACorrosion	
16254	142	0002CAACP Reading	
16255	142	0002CAAMarine Growth	
16256	142	0002CAAStatus Check	
16257	142	0002CAUHAdd Feature	
16258	142	0002CAUHMarine Growth	
16259	142	0002CGS2Bolted Item	
16260	142	0002CGS2Coatings	
16261	142	0002CGS2CP Reading	
16262	142	0002CGS2Marine Growth	
16263	142	0002CGSBAnode	
16264	142	0002CGSBCP Reading	
16265	142	0002CGSBStatus Check	
16266	142	0002FLSXDisplacement	
16267	142	0002GSSAdd Feature	
16268	142	0002GSSBolted Item	
16269	142	0002GSSContinuity Strap	
16270	142	0002GSSCP Reading	
16271	142	0002GSSMarine Growth	
16272	142	0002GSSStatus Check	
16273	142	0002PLEMBolted Item	
16274	142	0002PLEMCoatings	
16275	142	0002PLEMCP Reading	
16276	142	0002PLEMMarine Growth	
16277	142	0002PLEMStatus Check	
16278	142	0002SSMPAnode	
16279	142	0002SSMPCoatings	
16280	142	0002SSMPCorrosion	
16281	142	0002SSMPCP Reading	
16282	142	0002SSMPDebris	
16283	142	0002TSP1Anode	
16284	142	0002TSP1Coatings	
16285	142	0002TSP1CP Reading	
16286	142	0002TSP1Displacement	
16287	142	0002TSP1Marine Growth	
16288	142	0002TSP1Status Check	
16289	142	0002TSP2Coatings	
16290	142	0002TSP2CP Reading	
16291	142	0002TSP2Displacement	
16292	142	0002TSP2Status Check	
16293	142	0002TSS1Bolted Item	
16294	142	0002TSS1CP Reading	
16295	142	0002TSS1Marine Growth	
16296	142	0002TSS1Status Check	
16297	142	0002TSS2Add Feature	
16298	142	0002TSS2Ad-Hoc Work	
16299	142	0002TSS2CP Reading	
16300	142	0002TSS2Crossing	
16301	142	0002UC1Add Feature	
16302	142	0002UC1CP Reading	
16303	142	0002UC1Status Check	
16304	142	0002UC2Add Feature	
16305	142	0002UC2Anode	
16306	142	0002UC2Bolted Item	
16307	142	0002UC2CP Reading	
16308	142	0002UC2Debris	
16309	142	0002UC2Line Damage	
16310	142	0002UC2Marine Growth	
16311	142	0002UC2Stabilisation	
16312	142	0002UC2Status Check	
16313	142	0002UG1Add Feature	
16314	142	0002UG1CP Reading	
16315	142	0002UG1Displacement	
16316	142	0002UG1Status Check	
16317	142	0002UG2Line Damage	
16318	142	0002UG2Stabilisation	
16319	142	0002UG3Add Feature	
16320	142	0002UG3Ad-Hoc Work	
16321	142	0002UG3Anode	
16322	142	0002UG3Berm	
16323	142	0002UG3CP Reading	
16324	142	0002UG3Crossing	
16325	142	0002UG3Debris	
16326	142	0002UG3Displacement	
