RF_ID	RF_DESC
278	Production flow system piping schematic
279	Surge relief system piping schematic
280	Buoy piping system surge tanks
281	Production lines inlet lines to inline swivel
282	Production lines outlet line from inline swivel
283	Surge line inlet lines to surge tanks
284	Buoy piping system plan view
285	Buoy piping system elevation view
286	Piping system turntable section and details
287	"Swivel-inline 24"" 150lb assembly"
288	"Swivel-inline 24"" 150lb assembly"
289	"Swivel-inline 24"" 150lb assembly"
290	Turntable general notes
291	Turntable top deck plate and framing plan
292	Turntable bottom deck plate and framing plan
293	Turntable bulkhead framing details
294	Turntable bulkhead framing details
295	Turntable miscellaneous details
296	Turntable miscellaneous details
297	Turntable miscellaneous details
298	Turntable miscellaneous details
299	Turntable miscellaneous details
300	Turntable miscellaneous details
301	Turntable miscellaneous details
302	Turntable boat landing and chain tensioning frame
303	Turntable boat landing and chain tensioning frame
304	Turntable lift frame and rope guard plan and elevations
305	Turntable lift frame and rope guard sections and details
306	Turntable handrail and ladder location plan and details
307	Turntable handrail and ladder sections and details
308	Turntable navigation aids and equipment mounting details
309	Turntable navigation aids and equipment mounting details
310	Turntable navigation aids and equipment mounting details
311	Turntable tool/storage box sections and details
312	Turntable Access Platform And Ladder
313	"Dia. 24"" CEP spoolpiece general arrangement"
314	24-inch condensate export pipeline alignment sheet 01 of 01
315	As built chart CGS, CALM and gab overview chart 1 of 1
316	24-inch Condensate Export Pipeline Anode Details
317	Production Flow System Piping Schematic
318	CONFIGURATION OF CGS SPOOLS & UMBILICALS
319	PIPELINE INSTALLATION SURVEY, AS-LAID AS BUILT CHART CONCRETE GRAVITY STRUCTURE AREA CHART 1 OF 1
320	Dry Storage System - Risers Sections Sheet 1
321	SEABED PREPARATION - SHEET 3
322	SCOUR PROTECTION & SEABED LEVELLING LAYER GRADING ENVELOPE & SECTIONS
323	01-OPI-5220 Sea Water Lift Pumps P&ID
324	SECONDARY STEEL - RUNDOWN CAISSON DETAILS SHT. 1
325	SECONDARY STEEL - RUNDOWN CAISSON DETAILS SHT. 2
326	SECONDARY STEEL - CAISSON DETAILS SHT. 1
327	Secondary Steel caisson Details - Sheet 2
328	PIPING & INSTRUMENTATION DIAGRAM - SEA WATER FILTERS
329	PIPING & INSTRUMENTATION DIAGRAM - CCWS/SEAWATER COOLERS
330	PIPING & INSTRUMENTATION DIAGRAM - FIREWATER JOCKEY PUMP
331	CGS COORDINATE AND LEVEL SYSTEM
332	GENERAL ARRANGEMENT SECTIONS - SHEET 1 OF 2
333	GENERAL ARRANGEMENT SECTIONS - SHEET 2 OF 2
334	CAISSON BASE SLAB - GENERAL ARRANGEMENT
335	9700-FAB-002-S-313 CEP PLEM Final Dimension Check
336	9700-FAB-002-S-314 CEP PLEM Final Dimension Check
337	9700-FAB-002-S-315 CEP PLEM Final Dimension Check
338	9700-FAB-002-S-316 CEP PLEM Final Dimension Check
339	SSMA MANIFOLD - CHART 1 OF 1
340	SSMA & PLES'S CHART
341	STABBING PINS ON PLES
342	TPF PLES1 Bridle - As-built
343	9700-FAB-002-S-102 PLES1 BULKHEAD WELD MAP
344	PLES1 FINAL DIMENSION CHECK
345	9700-FAB-002-S-101 STRUCTURAL FRAME PLES1 WELD MAP
346	PLES1 FRAME GUIDE WELD MAP
347	PLES1 STRUCTURAL SKID WELD MAP
348	PLES1 STRUCTURAL SKID DETAILS WELD MAP
349	PLES1 STRUCTURAL SKID DETAILS DIMENSIONAL DETAIL
350	PLES1 STRUCTURAL SKID DIMENSIONAL DETAIL
351	PLES1 STRUCTURAL SKID DETAILS ANODE - WELD MAP & DIMENSIONAL DETAIL
352	PLES1 STRUCTURAL SKID PMT BUCKET DETAIL
353	PLES1 SLIDING STRUCTURE WELD MAP
354	PLES1 SLIDING STRUCTURE WELD MAP
355	PLES2 BRIDLE WELD MAP
356	PLES2 BULKHEAD WELD MAP
357	PLES2 FINAL DIMENSION CHECK
358	STRUCTURAL FRAME PLES2 WELD MAP
359	PLES2 FRAME GUIDE WELD MAP
360	PLES2 STRUCTURAL SKID WELD MAP
361	PLES2 STRUCTURAL SKID WELD MAP
362	PLES2 STRUCTURAL SKID WELD MAP
363	PLES2 STRUCTURAL SKID WELD MAP
364	PLES2 STRUCTURAL SKID DETAILS ANODE - WELD MAP & DIMENSIONAL DETAIL
365	PLES2 STRUCTURAL SKID DETAILS WELD MAP
366	PLES2 STRUCTURAL SKID DIMENSIONAL DETAIL
367	PLES2 STRUCTURAL SKID PMT BUCKET DETAIL
368	PLES2 SLIDING STRUCTURE WELD MAP
369	PLES2 SLIDING STRUCTURE WELD MAP
370	"24"" GAS EXPORT PIPELINE SSIV STRUCTURAL FRAME FINAL DIMENSION CHECK"
371	"24"" GAS EXPORT PIPELINE SSIV STRUCTURAL FRAME FINAL DIMENSION CHECK"
372	"24"" GAS EXPORT PIPELINE SSIV STRUCTURAL FRAME FINAL DIMENSION CHECK"
373	"16"" TWO PHASE FLOWLINE TPF1 - SSIV ASSEMBLY FINAL DIMENSION CHECK"
374	"16"" TWO PHASE FLOWLINE TPF1 - SSIV ASSEMBLY FINAL DIMENSION CHECK"
375	"16"" TWO PHASE FLOWLINE TPF2 - SSIV ASSEMBLY FINAL DIMENSION CHECK"
376	"16"" TWO PHASE FLOWLINE TPF2 - SSIV ASSEMBLY FINAL DIMENSION CHECK"
377	"5"" - 10M Spool Tree P&ID"
378	05-1681-69-M-0-721 GEP Tabangao Laucher / Receiver P&ID
379	"APPROACH NEAR 16"" TWO PHASE FLOWLINES AND SSMA"
380	ANCHOR PATTERN, SUBSEA INSTALLATIONS & EXCLUSION ZONES
381	01-PEL-5100 Platform General Arrangment As-Installed Position & Elevation
382	PIPELINE ALIGNMENT SHEET OVERALL ARRANGEMENT KP 0.000 TO KP 7.494
383	Dry Storage System - Risers Sections Sheet 2
384	Risers General Arrangement
385	SHAFT 1 J-TUBE LAYOUT AT BASE OF SHAFT
386	"Field Layout 24"" Condensate Export Pipeline"
387	GAS EXPORT PIPELINE ROUTE DATA SHEET SHEET 1 OF 5
388	GAS EXPORT PIPELINE ROUTE DATA SHEET SHEET 2 OF 5
389	GAS EXPORT PIPELINE ROUTE DATA SHEET SHEET 3 OF 5
390	GAS EXPORT PIPELINE ROUTE DATA SHEET SHEET 4 OF 5
391	GAS EXPORT PIPELINE ROUTE DATA SHEET SHEET 5 OF 5
392	"24"" GAS EXPORT PIPELINE SSIV ASSEMBLY GENERAL ARRANGEMENT - PLAN"
393	"24"" GAS EXPORT PIPELINE SSIV ASSEMBLY GENERAL ARRANGEMENT - ELEVATIONS"
394	"Field Layout 24"" Gas Export Pipeline - Sheet 1 of 9"
395	"Field Layout 24"" Gas Export Pipeline - Sheet 2 of 9"
396	"Field Layout 24"" Gas Export Pipeline - Sheet 3 of 9"
397	"Field Layout 24"" Gas Export Pipeline - Sheet 4 of 9"
398	"Field Layout 24"" Gas Export Pipeline - Sheet 5 of 9"
399	"Field Layout 24"" Gas Export Pipeline - Sheet 9 of 9"
400	NDTN-1 Crossing Chart
401	NDTN-2 Crossing Chart
402	PLDT-1 Crossing Chart
403	PLDT-2 Crossing Chart
404	PLDT-3 Crossing Chart
405	SHORE APPROACH PROTECTION CHART 01 OF 01
406	AS-BUILT FIELD LAYOUT SUBSEA PRODUCTION SYSTEM
407	SPOOLTREE SYSTEM PLAN VIEW
408	SPOOLTREE SYSTEM FRONT ELEVATION VIEW SHT 1 OF 4
409	SPOOLTREE SYSTEM RIGHT ELEVATION VIEW SHT 2 OF 4
410	SPOOLTREE SYSTEM REAR ELEVATION VIEW SHT 3 OF 4
411	SPOOLTREE SYSTEM LEFT ELEVATION VIEW SHT 4 OF 4
412	INTEGRAL SPOOLTREE STACKUP SHT 1 OF 2
413	INTEGRAL SPOOLTREE STACKUP SHT 2 OF 2
414	RUNNING TOOL, F/SUBSEA RETREIVABLE INSERT CHOKE
415	ASSEMBLY, METHANOL DISTRIBUTOR CAP
416	ASSEMBLY, FLOWLINE JUMPER
417	PROPOSED MA-5 RIGID PIPE WELL JUMPER CONFIGURATION
418	ASSEMBLY, MCPAC HUB CONNECTION TOOL
419	PIPELINE END STRUCTURE - GA PLAN AND SECTIONS
420	MANIFOLD SYSTEM ARRANGEMENT (STACK-UP) - SHT 1
421	MANIFOLD SYSTEM ARRANGEMENT (STACK-UP) - SHT 2
422	ASSEMBLY, SUBSEA DISTRIBUTION UNIT B
423	A-11-10-01 TPF1 Field layout
424	Malampaya Project Overview Drawing
425	Test
426	Landfall
427	Landfall
428	Allseas Document and Procedures Index
429	2002 Inspection and Anomaly Criteria
430	GEP As Built Volume 1 Appendix F
431	GEP AS-BUILT SURVEY REPORT, Vol 1of 16, RESULTS 24” GAS EXPORT PIPELINE
432	GEP As Built Volume 2 KP 100-300
433	GEP As Built Volume 2 KP 300-502
434	"PLES 1- FIVB at SSMA end of DN400 (16"") Two Phase Flowline (PLES1-FIVB), Add Feature, (Event No. 2)"
435	DN400 (16-Inch) Two Phase Flowline 1 (TPFL1(B)) FM SSMA TO the SSIV (TPFL1(B)-13), Add Feature, (Event No. 14)
436	DN400 (16-Inch) Two Phase Flowline 1 (TPFL1(B)) FM SSMA TO the SSIV (TPFL1(B)-13), Add Feature, (Event No. 14)
437	DN400 (16-Inch) Two Phase Flowline 1 (TPFL1(B)) FM SSMA TO the SSIV (TPFL1(B)-13), Add Feature, (Event No. 17)
438	DN400 (16-Inch) Two Phase Flowline 1 (TPFL1(B)) FM SSMA TO the SSIV (TPFL1(B)-13), Add Feature, (Event No. 17)
439	DN400 (16-Inch) Two Phase Flowline 1 (TPFL1(B)) FM SSMA TO the SSIV (TPFL1(B)-13), Add Feature, (Event No. 17)
440	DN400 (16-Inch) Two Phase Flowline 1 (TPFL1(B)) FM SSMA TO the SSIV (TPFL1(B)-13), Add Feature, (Event No. 18)
441	DN400 (16-Inch) Two Phase Flowline 1 (TPFL1(B)) FM SSMA TO the SSIV (TPFL1(B)-13), Add Feature, (Event No. 18)
442	DN400 (16-Inch) Two Phase Flowline 1 (TPFL1(B)) FM SSMA TO the SSIV (TPFL1(B)-13), Add Feature, (Event No. 18)
443	DN400 (16-Inch) Two Phase Flowline 1 (TPFL1(B)) FM SSMA TO the SSIV (TPFL1(B)-13), Add Feature, (Event No. 19)
444	DN400 (16-Inch) Two Phase Flowline 1 (TPFL1(B)) FM SSMA TO the SSIV (TPFL1(B)-13), Add Feature, (Event No. 19)
445	DN400 (16-Inch) Two Phase Flowline 1 (TPFL1(B)) FM SSMA TO the SSIV (TPFL1(B)-13), Add Feature, (Event No. 19)
446	DN400 (16-Inch) Two Phase Flowline 1 (TPFL1(B)) FM SSMA TO the SSIV (TPFL1(B)-13), Add Feature, (Event No. 20)
447	DN400 (16-Inch) Two Phase Flowline 1 (TPFL1(B)) FM SSMA TO the SSIV (TPFL1(B)-13), Add Feature, (Event No. 21)
448	DN400 (16-Inch) Two Phase Flowline 1 (TPFL1(B)) FM SSMA TO the SSIV (TPFL1(B)-13), Add Feature, (Event No. 21)
449	DN400 (16-Inch) Two Phase Flowline 1 (TPFL1(B)) FM SSMA TO the SSIV (TPFL1(B)-13), Add Feature, (Event No. 22)
450	DN400 (16-Inch) Two Phase Flowline 1 (TPFL1(B)) FM SSMA TO the SSIV (TPFL1(B)-13), Add Feature, (Event No. 23)
451	DN400 (16-Inch) Two Phase Flowline 1 (TPFL1(B)) FM SSMA TO the SSIV (TPFL1(B)-13), Add Feature, (Event No. 23)
452	DN400 (16-Inch) Two Phase Flowline 1 (TPFL1(B)) FM SSMA TO the SSIV (TPFL1(B)-13), Add Feature, (Event No. 24)
453	DN400 (16-Inch) Two Phase Flowline 1 (TPFL1(B)) FM SSMA TO the SSIV (TPFL1(B)-13), Add Feature, (Event No. 26)
454	DN400 (16-Inch) Two Phase Flowline 1 (TPFL1(B)) FM SSMA TO the SSIV (TPFL1(B)-13), Add Feature, (Event No. 26)
455	DN400 (16-Inch) Two Phase Flowline 1 (TPFL1(B)) FM SSMA TO the SSIV (TPFL1(B)-13), Add Feature, (Event No. 28)
456	DN400 (16-Inch) Two Phase Flowline 1 (TPFL1(B)) FM SSMA TO the SSIV (TPFL1(B)-13), Add Feature, (Event No. 28)
457	DN400 (16-Inch) Two Phase Flowline 1 (TPFL1(B)) FM SSMA TO the SSIV (TPFL1(B)-13), Add Feature, (Event No. 28)
458	DN400 (16-Inch) Two Phase Flowline 1 (TPFL1(B)) FM SSMA TO the SSIV (TPFL1(B)-13), Add Feature, (Event No. 28)
459	DN400 (16-Inch) Two Phase Flowline 1 (TPFL1(B)) FM SSMA TO the SSIV (TPFL1(B)-13), Add Feature, (Event No. 32)
460	DN400 (16-Inch) Two Phase Flowline 1 (TPFL1(B)) FM SSMA TO the SSIV (TPFL1(B)-13), Add Feature, (Event No. 68)
461	DN400 (16-Inch) Two Phase Flowline 1 (TPFL1(B)) FM SSMA TO the SSIV (TPFL1(B)-13), Add Feature, (Event No. 68)
462	DN400 (16-Inch) Two Phase Flowline 1 (TPFL1(B)) FM SSMA TO the SSIV (TPFL1(B)-13), Add Feature, (Event No. 69)
463	DN400 (16-Inch) Two Phase Flowline 1 (TPFL1(B)) FM SSMA TO the SSIV (TPFL1(B)-13), Add Feature, (Event No. 69)
464	DN400 (16-Inch) Two Phase Flowline 1 (TPFL1(B)) FM SSMA TO the SSIV (TPFL1(B)-13), Add Feature, (Event No. 69)
465	DN400 (16-Inch) Two Phase Flowline 1 (TPFL1(B)) FM SSMA TO the SSIV (TPFL1(B)-13), Add Feature, (Event No. 89)
466	DN400 (16-Inch) Two Phase Flowline 1 (TPFL1(B)) FM SSMA TO the SSIV (TPFL1(B)-13), Add Feature, (Event No. 89)
467	DN400 (16-Inch) Two Phase Flowline 1 (TPFL1(B)) FM SSMA TO the SSIV (TPFL1(B)-13), Add Feature, (Event No. 89)
468	DN400 (16-Inch) Two Phase Flowline 1 (TPFL1(B)) FM SSMA TO the SSIV (TPFL1(B)-13), Add Feature, (Event No. 89)
469	DN400 (16-Inch) Two Phase Flowline 1 (TPFL1(B)) FM SSMA TO the SSIV (TPFL1(B)-13), Ad-hoc Work, (Event No. 1)
470	DN400 (16-Inch) Two Phase Flowline 1 (TPFL1(B)) FM SSMA TO the SSIV (TPFL1(B)-13), Ad-hoc Work, (Event No. 1)
471	DN400 (16-Inch) Two Phase Flowline 1 (TPFL1(B)) FM SSMA TO the SSIV (TPFL1(B)-13), Ad-hoc Work, (Event No. 1)
472	DN400 (16-Inch) Two Phase Flowline 1 (TPFL1(B)) FM SSMA TO the SSIV (TPFL1(B)-13), Ad-hoc Work, (Event No. 1)
473	DN400 (16-Inch) Two Phase Flowline 1 (TPFL1(B)) FM SSMA TO the SSIV (TPFL1(B)-13), Ad-hoc Work, (Event No. 9)
474	DN400 (16-Inch) Two Phase Flowline 1 (TPFL1(B)) FM SSMA TO the SSIV (TPFL1(B)-13), Ad-hoc Work, (Event No. 9)
475	DN400 (16-Inch) Two Phase Flowline 1 (TPFL1(B)) FM SSMA TO the SSIV (TPFL1(B)-13), Ad-hoc Work, (Event No. 11)
476	DN400 (16-Inch) Two Phase Flowline 1 (TPFL1(B)) FM SSMA TO the SSIV (TPFL1(B)-13), Ad-hoc Work, (Event No. 11)
477	DN400 (16-Inch) Two Phase Flowline 1 (TPFL1(B)) FM SSMA TO the SSIV (TPFL1(B)-13), Anode, (Event No. 62)
478	DN400 (16-Inch) Two Phase Flowline 1 (TPFL1(B)) FM SSMA TO the SSIV (TPFL1(B)-13), Anode, (Event No. 62)
479	DN400 (16-Inch) Two Phase Flowline 1 (TPFL1(B)) FM SSMA TO the SSIV (TPFL1(B)-13), Anode, (Event No. 99)
480	DN400 (16-Inch) Two Phase Flowline 1 (TPFL1(B)) FM SSMA TO the SSIV (TPFL1(B)-13), Anode, (Event No. 163)
481	DN400 (16-Inch) Two Phase Flowline 1 (TPFL1(B)) FM SSMA TO the SSIV (TPFL1(B)-13), Anode, (Event No. 174)
482	DN400 (16-Inch) Two Phase Flowline 1 (TPFL1(B)) FM SSMA TO the SSIV (TPFL1(B)-13), Anode, (Event No. 188)
483	DN400 (16-Inch) Two Phase Flowline 1 (TPFL1(B)) FM SSMA TO the SSIV (TPFL1(B)-13), Anode, (Event No. 190)
484	DN400 (16-Inch) Two Phase Flowline 1 (TPFL1(B)) FM SSMA TO the SSIV (TPFL1(B)-13), Anode, (Event No. 225)
485	DN400 (16-Inch) Two Phase Flowline 1 (TPFL1(B)) FM SSMA TO the SSIV (TPFL1(B)-13), Anode, (Event No. 226)
486	DN400 (16-Inch) Two Phase Flowline 1 (TPFL1(B)) FM SSMA TO the SSIV (TPFL1(B)-13), Anode, (Event No. 228)
487	DN400 (16-Inch) Two Phase Flowline 1 (TPFL1(B)) FM SSMA TO the SSIV (TPFL1(B)-13), Anode, (Event No. 233)
488	DN400 (16-Inch) Two Phase Flowline 1 (TPFL1(B)) FM SSMA TO the SSIV (TPFL1(B)-13), Anode, (Event No. 233)
489	DN400 (16-Inch) Two Phase Flowline 1 (TPFL1(B)) FM SSMA TO the SSIV (TPFL1(B)-13), Anode, (Event No. 244)
490	DN400 (16-Inch) Two Phase Flowline 1 (TPFL1(B)) FM SSMA TO the SSIV (TPFL1(B)-13), Anode, (Event No. 245)
491	DN400 (16-Inch) Two Phase Flowline 1 (TPFL1(B)) FM SSMA TO the SSIV (TPFL1(B)-13), Anode, (Event No. 247)
492	DN400 (16-Inch) Two Phase Flowline 1 (TPFL1(B)) FM SSMA TO the SSIV (TPFL1(B)-13), Anode, (Event No. 248)
493	DN400 (16-Inch) Two Phase Flowline 1 (TPFL1(B)) FM SSMA TO the SSIV (TPFL1(B)-13), Anode, (Event No. 250)
494	DN400 (16-Inch) Two Phase Flowline 1 (TPFL1(B)) FM SSMA TO the SSIV (TPFL1(B)-13), Anode, (Event No. 251)
495	DN400 (16-Inch) Two Phase Flowline 1 (TPFL1(B)) FM SSMA TO the SSIV (TPFL1(B)-13), Anode, (Event No. 252)
496	DN400 (16-Inch) Two Phase Flowline 1 (TPFL1(B)) FM SSMA TO the SSIV (TPFL1(B)-13), Anode, (Event No. 252)
497	DN400 (16-Inch) Two Phase Flowline 1 (TPFL1(B)) FM SSMA TO the SSIV (TPFL1(B)-13), Anode, (Event No. 253)
498	DN400 (16-Inch) Two Phase Flowline 1 (TPFL1(B)) FM SSMA TO the SSIV (TPFL1(B)-13), Anode, (Event No. 254)
499	DN400 (16-Inch) Two Phase Flowline 1 (TPFL1(B)) FM SSMA TO the SSIV (TPFL1(B)-13), Anode, (Event No. 255)
500	DN400 (16-Inch) Two Phase Flowline 1 (TPFL1(B)) FM SSMA TO the SSIV (TPFL1(B)-13), Anode, (Event No. 256)
501	DN400 (16-Inch) Two Phase Flowline 1 (TPFL1(B)) FM SSMA TO the SSIV (TPFL1(B)-13), Anode, (Event No. 258)
502	DN400 (16-Inch) Two Phase Flowline 1 (TPFL1(B)) FM SSMA TO the SSIV (TPFL1(B)-13), Anode, (Event No. 260)
503	DN400 (16-Inch) Two Phase Flowline 1 (TPFL1(B)) FM SSMA TO the SSIV (TPFL1(B)-13), Anode, (Event No. 262)
504	DN400 (16-Inch) Two Phase Flowline 1 (TPFL1(B)) FM SSMA TO the SSIV (TPFL1(B)-13), Anode, (Event No. 280)
505	DN400 (16-Inch) Two Phase Flowline 1 (TPFL1(B)) FM SSMA TO the SSIV (TPFL1(B)-13), Anode, (Event No. 282)
506	DN400 (16-Inch) Two Phase Flowline 1 (TPFL1(B)) FM SSMA TO the SSIV (TPFL1(B)-13), Anode, (Event No. 282)
507	DN400 (16-Inch) Two Phase Flowline 1 (TPFL1(B)) FM SSMA TO the SSIV (TPFL1(B)-13), Anode, (Event No. 286)
508	DN400 (16-Inch) Two Phase Flowline 1 (TPFL1(B)) FM SSMA TO the SSIV (TPFL1(B)-13), Anode, (Event No. 287)
